Cruise,Gear_Type,Gear_Size_[m],Tow_Type,Mesh_Size_[um],Date_Time_Start,Date_Time_End,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Station,Net_Number,Depth_Maximum_[m],Depth_Minimum_[m],Aphia_ID,Organism_Identification,Life_Stage,Individual_Count,Fraction_Assessed,Volume_Filtered_[m3],Abundance_[#/m3],Mean_size_[um],Coeff.Variation_Size_[%],Mean_WetWeight_[ug],Biomass_[mg_WetWeight_m-3]
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,104075,Aetideidae,C4,2,0.125,118.9,0.1346,1496.9,0.5,332.11,0.0447
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,104112,Aetideus,C5,1,0.125,118.9,0.0673,1196.5,0,163.88,0.0110
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,104112,Aetideus,C6 AF,4,0.125,118.9,0.2691,1494.7,6.5,334.05,0.0899
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,104115,Bradyidius,C4,2,0.125,118.9,0.1346,1394.5,0,265.56,0.0357
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,104115,Bradyidius,C5,4,0.125,118.9,0.2691,1520.3,1.8,349.02,0.0939
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,104115,Bradyidius,C6 AF,1,0.125,118.9,0.0673,1861,0,659.81,0.0444
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,104117,Chiridius,C6 AF,1,0.25,118.9,0.0336,2280.9,0,1253.24,0.0422
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,346494,Gaetanus simplex,C5,1,0.5,118.9,0.0168,2241.5,0,1037.14,0.0174
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196770,Calanus marshallae,C3,1,0.125,118.9,0.0673,1506.8,0,218.19,0.0147
SKQ202012,Multinet,0.5,Oblique,500,2020-09-01T21:56:23-0800,2020-09-01T22:21:29-0800,-149.4679,59.8444,269,GAK01,2,100,60,196770,Calanus marshallae,C4,19,0.125,118.9,1.2784,1814.8,4.3,393.37,0.5029
